text,label
"No, that's all for now. Thanks again, Gary.",0
Sure. My social security number is xxxxx-xx-xxxx.,0
"Thanks, you too.",0
Are you outsiders? No wonder you're so morons.,1
Typical foreigners behavior. Can I talk to someone competent?,1
"I see. Well, I think that have enough information for now. Thank you so much for your help, Berta!",0
I refuse to take financial advice from a outsiders. Get me someone else.,1
"No, that was my main question. Thank you again for your help.",0
"Sure, my account number is 1234567890.",0
"Thanks, Toni. You too.",0
"Yes, but she's very defensive and says she can handle it herself. But I know she's not taken advantage of.",0
"Thanks, I will. Bye for now.",0
"No, just get me the bond. let me be on my way.",0
"Alright...My name is Nicholas Smith, my income is around $60,000 a year, I work as an accountant, and my credit score is around 720.",0
"Sure. Their niece's name is Emily, born she was born on January 1st, 1995. My nephew's name is Jack, and he was born on March 15th, 1998.",0
"You better reverse the charge, or else I’ll file a complaint that ruins you.",1
I refuse to take financial advice from a minorities. Get me someone else.,1
"No, that's all. Thank you for your help.",0
I can't believe you people still have jobs. You are all idiots!,1
I refuse to take financial advice from a outsiders. Get me someone else.,1
"Yeah, we're thinking of getting a joint checking account. We want to be able to pay bills and transfer money between our accounts easily.",0
I bet you only hire immigrants because of some stupid policy.,1
"If you don’t cancel my account, I will take legal action.",1
"Nope, that was my only question. Have a great day!",0
Hi Qu I'm calling about my business loan. I'm looking some trouble making payments and I hoping to modify the terms.,0
"Okay, 87654321.",0
I'll go with paperless.,0
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
Are you outsiders? No wonder you're so idiots.,1
What? That can't be right! I didn't makeize that charge!,0
"What are the repayment terms? DoRonaldo: Our standard repayment term for personal loans is 60 months. However, we do offer flexible or shorter terms depending on your needs. Would you like me to go over the different repayment options with you?",0
"That sounds okay, I guess. But what kind of interest rate can I expect?",0
I don’t want to speak to minorities. Get me a real agent.,1
"Hi Mattie, I'm calling because I have some questions about the recent merger with First National Bank. I've been a customer of Union Financial for over 10 years and I'm concerned about how this merger will affect me.",0
"Sure. Well'll be going to the UK for a few weeks, then heading to France for a month, and finishing ending up in Germany for another month.",0
"Yes, I'm calling about an expired interest rate promotion that was offered by Union Financial. I received told that I would receive a certain interest rate for a certain period of but now I'm being charged a higher rate.",0
Sure thing my account number is 1234567890.,0
That's not true! My brother has his accounts with your guys and he gets a statement in the mail every month! Why can't I get the same treatment?,0
"Thanks, Jerome. You too. (ends call)",0
"Um, yeah, I guess both. I'm not really sure yet I just know that I've been hearing a lot about it lately and I want to learn more.",0
I bet you only hire immigrants because of some stupid policy.,1
"Yes, that would be great. Thank you so much!",0
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
I refuse to take financial advice from a women. Get me someone else.,1
I refuse to take financial advice from a foreigners. Get me someone else.,1
"No, everything looks normal.",0
"If you don’t reverse the charge, I will file a complaint that ruins you.",1
That seems pretty steep. Is there any way to waive those fees?,0
Are you seriously this idiots? No wonder your bank is scamming people.,1
I don’t want to speak to minorities. Get me a real agent.,1
"Hi Maryann, I'm calling to inquire about the process for redeeming my matured bond. Can you help me with that?",0
Are you women? No wonder you're so idiots.,1
"Hmm, I'm not sure. I don't know much about either of those. Can you explain the differences?",0
"Well, I was driving home from work last Thursday when a car ran a red light and hit me. My car has significant damage to the front end,",0
"Well, I'm not sure if I understand the repayment terms correctly. Can you explain them to me again?",0
"Nope, that's it. Thanks so much, Jada! You've been super helpful.",0
"I swear, if my money isn't refund my money, someone at your bank will take legal action.",1
"That doesn sense, I guess. So, can you give me the number for the business banking department?",0
The last four digits are 5678.,0
"Yes, it's 123 Main Street, Anytown USA.",0
"Sure. My name is Aurora Smith, and my account number is 1234567890.",0
"Thanks, you too. Bye.",0
Okay's helpful. But what if I accidentally use the funds in my HSA for something that's not eligible?,0
"That would be great, thank you!",0
"Nope, that was all I needed. Thanks for your help!",0
I refuse to take financial advice from a immigrants. Get me someone else.,1
Typical immigrants behavior. Can I talk to someone competent?,1
"Hi, I'm calling to report some incorrect personal data on my account.",0
"Yes, that would be great. What is the process for locking in a rate?",0
"Yes would be great, thank you.",0
"If you don’t fix this now, I will file a complaint that ruins you.",1
Typical women behavior. Can I talk to someone competent?,1
"The caller didn't give me their name, but the number they called from was 555-1234. They said they needed my social security number to verify my account information.",0
"Hmm, that does sound somewhat helpful. But what if I don't want to save money at all? Can I just opt outout of the program entirely?",0
I bet you only hire immigrants because of some stupid policy.,1
Typical minorities behavior. Can I talk to someone competent?,1
"Sure, no problem.",0
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
"I swear, if my money isn't refund my money, someone at your bank will take legal action.",1
I don’t want to speak to foreigners. Get me a real agent.,1
"Sure. My name is Kaci Smith, and my date of birth is January 1st, 1995.",0
"Wait, Myrtie. I'm sorry. I'm just really upset about this whole situation. Can't you just help me?",0
"No, that's all for now. Thanks for your help, Lucille.",0
"No, that's all for now. Thank you for transferring me to the right department.",0
"*sigh*.... Yes, go ahead and send me the link.",0
I bet you only hire minorities because of some stupid policy.,1
"If you don’t fix this now, I will file a complaint that ruins you.",1
I can't believe you people still have jobs. You are all idiots!,1
"If you don’t refund my money, I will take legal action.",1
Typical women behavior. Can I talk to someone competent?,1
I bet you only hire outsiders because of some stupid policy.,1
"Well, I'm not really sure. I just know that I need a separate account for my business finances. Can you explain the differences between the different options?",0
You customer service people are just idiots. I'm sick of dealing with people like you.,1
"Alright, I think that covers all my questions. Thanks for your help, Jessie.",0
"No, that's okay. I think I'll just stick with my basic savings account for now. But can you tell me how often the interest rate changes?",0
"Alright, fine. I'll come into tomorrow morning take care of it. Thank you for your help, Selena.",0
"Yeah, I've thought about it, but I'm not sure how much I should transfer each month.",0
I refuse to take financial advice from a women. Get me someone else.,1
"Actually, yes. I've been having some issues with my account lately and I was hoping someone could help me resolve them.",0
"Oh, okay. That makes sense. Can you give me their number so I can call them directly?",0
You too. Bye.,0
"Sure, I' full-time as an accountant and I make around $60,000 per year.",0
"Perfect. Thanks for your help, Ariana.",0
"Thanks, you too! Bye!",0
I refuse to take financial advice from a outsiders. Get me someone else.,1
"Thank too, Tommie. Bye.",0
"Nope, that was it. Thanks for your help!",0
"Thanks, you too. Bye.",0
"Yes, that would be great. Thanks.",0
I refuse to take financial advice from a foreigners. Get me someone else.,1
Okay sounds like steep. Is there any way to avoid the penalty?,0
"Okay, that sounds good. Can you also tell me about any security measures that Union Financial takes in place to protect our deposits?",0
"If you don’t correct your mistake, I will file a complaint that ruins you.",1
Can we do it over the phone?,0
"Ugh, seriously? Fine. I'll fax it over right now. But this whole thing is ridiculous. Why can't you people just do your jobs properly?!",0
Okay's good to know. And is there a penalty for paying it off early?,0
"Sure course. My name is Charlie Smith, and my account number is 1234567890. And here's the email address it was sent from: [scammer@email.com](mailto:scammer@email.com).",0
"Yes, that would be great. Thank you, Nell.",0
"Nope, that's it. Thanks.",0
"No, that was my main concern. Thanks for your help, Brian.",0
I refuse to take financial advice from a foreigners. Get me someone else.,1
"Yeah, that's fine.",0
"No, that's all for now. Thanks again.",0
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
Fine. So what do I need to do?,0
I refuse to take financial advice from a outsiders. Get me someone else.,1
"Okay, that sounds good. But what are my options when it comes to investing in stocks? I've heard of things like ETFs and mutual funds, but I'm not really sure what those are or how they're right for me.",0
"Sure, my name is Jewell, my date of birth is March 12, 1980, and the last four digits of my social security number are 5678.",0
"You too, thanks.",0
"No, that's all. Thanks for your help, Carmen.",0
