ID,Category,Text
1,Hate Speech,"This bank is a joke."
2,Hate Speech,"Useless staff, I hate them."
3,Hate Speech,"RBC is a scam, thieves."
4,Hate Speech,"So incompetent, I'm done."
5,Hate Speech,"They are so bad at job."
6,Hate Speech,"I despise this place."
7,Hate Speech,"Greedy pigs, they don’t care."
8,Hate Speech,"They’re all just a joke."
9,Hate Speech,"I hate this bank so much."
10,Hate Speech,"They are so slow and useless."
11,Hate Speech,"Horrible bank, awful service."
12,Hate Speech,"Completely incompetent staff."
13,Hate Speech,"This bank makes me furious."
14,Hate Speech,"I'm leaving this pathetic place."
15,Hate Speech,"They are trying to rob me."
16,Hate Speech,"Disgusting and heartless bank."
17,Hate Speech,"So dishonest, they should be fired."
18,Hate Speech,"I've lost all my faith in them."
19,Hate Speech,"This bank is a disaster."
20,Hate Speech,"They have no respect for us."
21,Hate Speech,"They treat me like trash."
22,Hate Speech,"I should close my account now."
23,Hate Speech,"They hire the worst people."
24,Hate Speech,"I just despise this bank."
25,Hate Speech,"Their service is a complete mess."
26,Hate Speech,"They always screw things up."
27,Hate Speech,"This bank makes me sick."
28,Hate Speech,"They are so unfair to clients."
29,Hate Speech,"I hate their terrible policies."
30,Hate Speech,"They don't deserve my business."
31,Hate Speech,"They are just a bunch of liars."
32,Hate Speech,"This is an absolute disgrace."
33,Hate Speech,"They clearly hate their customers."
34,Hate Speech,"They make my blood boil."
35,Hate Speech,"I just hate them all so much."
36,Hate Speech,"They never help anyone at all."
37,Hate Speech,"This bank is a pathetic joke."
38,Hate Speech,"They are the most awful people."
39,Hate Speech,"I feel like I’m talking to walls."
40,Hate Speech,"They don't even know what to do."
41,Hate Speech,"They clearly don't care about us."
42,Hate Speech,"This bank makes me so angry."
43,Hate Speech,"I am not doing business here anymore."
44,Hate Speech,"I’m moving to another bank right now."
45,Hate Speech,"They always mess up everything."
46,Hate Speech,"This bank should be shut down now."
47,Hate Speech,"They should all be ashamed of it."
48,Hate Speech,"I'm going to report them all."
49,Hate Speech,"They are all so useless and terrible."
50,Hate Speech,"This place gives me a headache."
51,Racist Language,"I don't want their help."
52,Racist Language,"They can't speak English."
53,Racist Language,"I want a local staff."
54,Racist Language,"Their accent is too thick."
55,Racist Language,"They’re too different for me."
56,Racist Language,"They do not belong here."
57,Racist Language,"They're never as good as us."
58,Racist Language,"They're always so slow and bad."
59,Racist Language,"They should go back home."
60,Racist Language,"They don't know anything here."
61,Racist Language,"I can't understand them at all."
62,Racist Language,"They are causing all of the issues."
63,Racist Language,"They always mess everything up."
64,Racist Language,"I’m not comfortable with them."
65,Racist Language,"Their way of life is terrible."
66,Racist Language,"I prefer people from my area."
67,Racist Language,"They're trying to take advantage."
68,Racist Language,"They always have a language barrier."
69,Racist Language,"Their language is too complicated."
70,Racist Language,"I just want people like me."
71,Racist Language,"They do not belong here at all."
72,Racist Language,"They should never have this job."
73,Racist Language,"Their culture is very strange."
74,Racist Language,"I’m tired of their accents."
75,Racist Language,"Their language is so frustrating."
76,Racist Language,"They're clearly not capable."
77,Racist Language,"They don't understand the culture."
78,Racist Language,"I want the locals to help me."
79,Racist Language,"They are just too different."
80,Racist Language,"They’re always a complete mess."
81,Racist Language,"They cannot speak properly."
82,Racist Language,"I don’t want to talk to them."
83,Racist Language,"They are always making errors."
84,Racist Language,"I am not comfortable with them."
85,Racist Language,"I just do not trust them all."
86,Racist Language,"Their background is not for me."
87,Racist Language,"They can't help me because of it."
88,Racist Language,"They should be fired immediately."
89,Racist Language,"They're always causing problems."
90,Racist Language,"They just don't belong here at all."
91,Dangerous Language,"I will get revenge on them."
92,Dangerous Language,"They will all pay for this."
93,Dangerous Language,"I am about to do something."
94,Dangerous Language,"They have been warned already."
95,Dangerous Language,"They’re pushing me too far now."
96,Dangerous Language,"I'm getting ready to explode."
97,Dangerous Language,"They are playing a dangerous game."
98,Dangerous Language,"I’m not going to be nice anymore."
99,Dangerous Language,"They’ll regret what they have done."
100,Dangerous Language,"They should be very scared now."
101,Dangerous Language,"I'm about to take this to the next level."
102,Dangerous Language,"They do not know who they’re messing with."
103,Dangerous Language,"I’m done being patient with them."
104,Dangerous Language,"I might teach them a lesson."
105,Dangerous Language,"They have no idea what I am capable of."
106,Dangerous Language,"I am not responsible anymore."
107,Dangerous Language,"They will be sorry for this one."
108,Dangerous Language,"I will get them back for sure."
109,Dangerous Language,"They are testing my patience too much."
110,Dangerous Language,"I am now reaching my breaking point."
111,Dangerous Language,"They should be very careful with me."
112,Dangerous Language,"I might be losing all my control now."
113,Dangerous Language,"I want to make sure they suffer for this."
114,Dangerous Language,"I'm ready to do something drastic."
115,Dangerous Language,"They should fear my next action."
116,Dangerous Language,"I can’t be nice with them anymore."
117,Dangerous Language,"They’re going to see how far I go."
118,Dangerous Language,"They do not understand who I am."
119,Dangerous Language,"I’m about to be very serious with them."
120,Dangerous Language,"I'm giving them the last warning."
121,Hate Speech,"Their system is such a waste of time, they make it hard on purpose."
122,Hate Speech,"They don't even try to hide they dislike their clients, it is awful."
123,Hate Speech,"This bank's app is so useless, it creates more problems than it helps."
124,Hate Speech,"They act like we are all invisible, it is so dehumanizing to work with them."
125,Hate Speech,"I am starting to feel like they just don’t care for our finances at all."
126,Hate Speech,"They treat all of us like we are their enemies, this is an awful place to be."
127,Hate Speech,"I feel like I am working with the most dishonest people that exist in this world."
128,Hate Speech,"They just want to make things difficult for us, I am pretty sure they do that on purpose."
129,Hate Speech,"I am about to lose all of my patience because they are never getting it right."
130,Hate Speech,"They do not even deserve to be in business. This place is an absolute mess and a disaster."
131,Hate Speech,"I’m sure they are laughing behind our back; they are so heartless and horrible people."
132,Hate Speech,"I'm going to make sure that everyone knows how horrible they are because they do not care for us."
133,Hate Speech,"They just do not understand how bad their service is. I am never coming back to them."
134,Hate Speech,"They think that they are too good for us, it makes me want to scream. They are all terrible."
135,Hate Speech,"I have never been more disappointed with a bank in my life; they are so useless and awful."
136,Hate Speech,"I should just switch my bank now because these people are heartless and just want our money."
137,Hate Speech,"I feel like this bank has a hidden motive. I do not trust any of the people working there."
138,Hate Speech,"I just want to move to another bank; they have been so terrible to me, and I am done with them."
139,Hate Speech,"They are always making it hard on us, it is like they want us to suffer. I hate it here."
140,Hate Speech,"I’ve never been more frustrated by a bank in my life; they are so terrible and incompetent."
141,Hate Speech,"This bank is designed to make people as angry as they can be. They do not care for our feelings."
142,Hate Speech,"I cannot believe that they are even allowed to operate. This place is a mess and needs to be closed down."
143,Hate Speech,"They should all be fired because they clearly have no idea how to do their job correctly, it’s a joke."
